Category,Label,Question,Answer
Drop,1,Am I going to drop?,It depends on meeting the minimum CGPA of <MinCGPA> for semester <SEMESTER_NO>.
Drop,1,Will I be dropped from program?,The Min cgpa of this <SEMESTER_NO> is <MinCGPA>
Drop,1,Will I be dropped if I fail too many courses? ,Failing many courses can lead to removal from your program.
Drop,1,Is my academic status safe in this semester?,Your status depends on performance. Min CGPA for semester <SEMESTER_NO>: <MinCGPA>.
Drop,1,Could I be drop from my program?,Depends on performance. Min CGPA for semester <SEMESTER_NO>: <MinCGPA>.
Drop,1,Am I at risk of being dropped?,It depends on meeting the minimum CGPA of <MinCGPA> for semester <SEMESTER_NO>.
Drop,1,Is my GPA too low to stay enrolled?,"The Min cgpa of this <SEMESTER_NO> is <MinCGPA>, and Your cgpa is <CGPA>."
Drop,1,Will failing these courses get me dropped?,Failing <failed_courses> courses effect your to drop. 
Drop,1,Am I safe from being dropped in this semester?,"Safety depends on performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Is my academic standing good enough to stay?,"Your academic standing depends on your performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Could I lose my enrollment due to my cgpa?,"Your safety from being dropped depends on your performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Is there a chance I might get dropped?,Your status depends on performance. Min CGPA for <SEMESTER_NO>: <MinCGPA>.
Drop,1,Could my performance lead to being dropped?,Your status depends on performance. Min CGPA for <SEMESTER_NO>: <MinCGPA>.
Drop,1,Will my failed courses affect my enrollment?,"Yes, failed courses can affect your enrollment."
Drop,1,Can I stay enrolled with my current cgpa?,Your current cgpa is <CGPA> and the min cgpa required to stay is <MINCGPA>.
Drop,1,Is it possible? l be dropped soon?,"It depends on your performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Does my academic record put me at risk?,Failing multiple courses may put your record at risk. Review and improve your grades.
Drop,1,Will I remain in the program with my current cgpa?,Your current cgpa is <CGPA> and the min cgpa required to stay is <MINCGPA>.
Drop,1,Is my current academic status secure?,"It depends on your performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Am I close to being dropped from my program?,"It depends on your performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Am I going to drop this semester? ,"It depends on your performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Do I meet the requirements to avoid being dropped?,"It depends on your performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Will I be dropped if I fail too many courses? ,"It depends on your performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Is my academic record good enough to continue?,"It depends on your performance. Your CGPA: <CGPA>, Min required: <MINCGPA>."
Drop,1,Am I in danger of losing my place in the program?,"It depends on your performance. Your CGPA: <CGPA>, Min to promote: <MINCGPA>."
Drop,1,Will failing a  course lead to me being dropped? ,Failing multiple courses puts your record at risk. Review and improve your grades.
Drop,1,What is the minimum CGPA required to avoid being dropped? ,Your cgpa is <CGPA> and the min cgpa required to promote  is <MINCGPA>.
Drop,1,Will failing this course lead to being dropped?,Failing multiple courses risks your record. Review and improve your grades.
Drop,1,Am I close to reaching the drop threshold? ,"Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Am I on the verge of being dropped?,"Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Could my enrollment be drop due to my GPA?,"Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Will my performance this semester keep me safe?,"Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Is there a risk of me being drop?,"Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Will I be allowed to continue my studies?,"Your CGPA: <CGPA>, Min required to promote: <MINCGPA>."
Drop,1,Can I avoid being dropped this semester?,"Pass current courses, improve GPA, and seek support to avoid being dropped."
Drop,1,Do I still meet the enrollment criteria?,"It depends on your performance. Your CGPA: <CGPA>, Min to promote: <MINCGPA>."
Drop,1,Am I going to drop this semester? ,"It depends on your performance. Your CGPA: <CGPA>, Min to promote: <MINCGPA>."
Drop,1,Am I eligible to stay in the program?,"It depends on your performance. Your CGPA: <CGPA>, Min to promote: <MINCGPA>."
Drop,1,Will I be dropped if I fail too many courses? ,"Yes, failed courses can affect your enrollment."
Drop,1,What is the minimum CGPA required to avoid being dropped? ,The min cgpa required to promote  is <MINCGPA>.
